Departed 19:13 19:43 BVN7844 Lubbock(LBB) C208N804FEFedEx Feeder -,,,,,,,"Wednesday, Mar 06 2024"
Departed 06:35 06:30 AA3647 Dallas(DFW) E75LN241NNAmerican Eagle -,,,,,,,"Wednesday, Mar 06 2024"
Unknown  07:20 MRA662 Dallas(ADS) C208N1041LMartinaire -,,,,,,,"Wednesday, Mar 06 2024"
Departed 08:19 08:15  Lubbock(LBB) C208N774FEFedEx Feeder -,,,,,,,"Wednesday, Mar 06 2024"
Departed 08:31 08:30  Savannah(SAV) C25CN590MB -,,,,,,,"Wednesday, Mar 06 2024"
Estimated dep.  10:29 10:29 AA3407 Dallas(DFW) E170N782SMAmerican Eagle -,,,,,,,"Wednesday, Mar 06 2024"
Estimated dep.  12:21 12:11 WQ3625 Alexandria(AEX) B734iAero Airways -,,,,,,,"Wednesday, Mar 06 2024"
Estimated dep.  14:46 14:46 AA3408 Dallas(DFW) E75LN291NNAmerican Eagle -,,,,,,,"Wednesday, Mar 06 2024"
Estimated dep.  18:18 18:18 AA3405 Dallas(DFW) E170N765STAmerican Eagle -,,,,,,,"Wednesday, Mar 06 2024"
Estimated dep.  19:13 19:13 BVN7793 Lubbock(LBB) C28Baron Aviation Services -,,,,,,,"Wednesday, Mar 06 2024"
Estimated dep.  19:43 19:43 BVN7844 Lubbock(LBB) C28Baron Aviation Services -,,,,,,,"Wednesday, Mar 06 2024"
Estimated dep.  05:11 05:11 AA3706 Dallas(DFW) E170N766JMAmerican Eagle -,,,,,,,"Wednesday, Mar 06 2024"
Estimated dep.  06:30 06:30 AA3647 Dallas(DFW) E75LN291NNAmerican Eagle -,,,,,,,"Wednesday, Mar 06 2024"
Estimated dep.  08:00 08:00 AA9977 Nashville(BNA) E145N923AEAmerican Eagle -,,,,,,,"Wednesday, Mar 06 2024"
Estimated dep.  10:29 10:29 AA3407 Dallas(DFW) E170N782SMAmerican Eagle -,,,,,,,"Wednesday, Mar 06 2024"
Estimated dep.  14:46 14:46 AA3408 Dallas(DFW) E75LN280NNAmerican Eagle -,,,,,,,"Wednesday, Mar 06 2024"
Estimated dep.  18:18 18:18 AA3405 Dallas(DFW) E170N779RNAmerican Eagle -,,,,,,,"Wednesday, Mar 06 2024"
"Sunday, Mar 03",,,,,,,"Wednesday, Mar 06 2024"
22:30,AA9868,Dallas (DFW)-,American Eagle -,E170 (N791DK),,Departed 23:41,"Sunday, Mar 03 2024"
"Monday, Mar 04",,,,,,,"Sunday, Mar 03 2024"
05:11,AA3706,Dallas (DFW)-,American Eagle -,E75L (N237NN),,Departed 05:11,"Monday, Mar 04 2024"
06:30,AA3647,Dallas (DFW)-,American Eagle -,E75L (N235NN),,Departed 06:35,"Monday, Mar 04 2024"
08:00,,Midland (MAF)-,-,C525 (N909DP),,Departed 07:52,"Monday, Mar 04 2024"
08:30,,Midland (MAF)-,-,BE20 (N806KM),,Departed 08:44,"Monday, Mar 04 2024"
10:29,AA3407,Dallas (DFW)-,American Eagle -,E170 (N646RW),,Departed 10:41,"Monday, Mar 04 2024"
11:00,EJA943,Midland (MDD)-,NetJets -,() -,,Estimated dep.  11:06,"Monday, Mar 04 2024"
14:46,AA3408,Dallas (DFW)-,American Eagle -,E75L (N230NN),,Departed 14:36,"Monday, Mar 04 2024"
16:00,,Fort Worth (FTW)-,-,C525 (N909DP),,Departed 16:22,"Monday, Mar 04 2024"
17:30,,Fort Worth (FTW)-,-,C560 (N917TL),,Departed 18:15,"Monday, Mar 04 2024"
17:55,,Denton (QQD)-,-,C172 (N62296),,Departed 17:08,"Monday, Mar 04 2024"
18:18,AA3405,Dallas (DFW)-,American Eagle -,E75L (N444YX),,Departed 18:11,"Monday, Mar 04 2024"
19:13,BVN7793,Lubbock (LBB)-,FedEx Feeder -,C208 (N970FE),,Departed 18:46,"Monday, Mar 04 2024"
19:15,MRA666,Dallas (DFW)-,Martinaire -,C208 (N1119V),,Departed 19:31,"Monday, Mar 04 2024"
19:43,BVN7844,Lubbock (LBB)-,FedEx Feeder -,C208 (N804FE),,Departed 19:13,"Monday, Mar 04 2024"
"Tuesday, Mar 05",,,,,,,"Monday, Mar 04 2024"
06:30,AA3647,Dallas (DFW)-,American Eagle -,E75L (N241NN),,Departed 06:35,"Tuesday, Mar 05 2024"
07:20,MRA662,Dallas (ADS)-,Martinaire -,C208 (N1041L),,Unknown,"Tuesday, Mar 05 2024"
08:15,,Lubbock (LBB)-,FedEx Feeder -,C208 (N774FE),,Departed 08:19,"Tuesday, Mar 05 2024"
08:30,,Savannah (SAV)-,-,C25C (N590MB),,Departed 08:31,"Tuesday, Mar 05 2024"
10:29,AA3407,Dallas (DFW)-,American Eagle -,E170 (N782SM),,Estimated dep.  10:29,"Tuesday, Mar 05 2024"
12:11,WQ3625,Alexandria (AEX)-,iAero Airways -,B734 (),,Estimated dep.  12:21,"Tuesday, Mar 05 2024"
14:46,AA3408,Dallas (DFW)-,American Eagle -,E75L (N291NN),,Estimated dep.  14:46,"Tuesday, Mar 05 2024"
18:18,AA3405,Dallas (DFW)-,American Eagle -,E170 (N765ST),,Estimated dep.  18:18,"Tuesday, Mar 05 2024"
19:13,BVN7793,Lubbock (LBB)-,Baron Aviation Services -,C28 (),,Estimated dep.  19:13,"Tuesday, Mar 05 2024"
19:43,BVN7844,Lubbock (LBB)-,Baron Aviation Services -,C28 (),,Estimated dep.  19:43,"Tuesday, Mar 05 2024"
"Wednesday, Mar 06",,,,,,,"Tuesday, Mar 05 2024"
05:11,AA3706,Dallas (DFW)-,American Eagle -,E170 (N766JM),,Estimated dep.  05:11,"Wednesday, Mar 06 2024"
06:30,AA3647,Dallas (DFW)-,American Eagle -,E75L (N291NN),,Estimated dep.  06:30,"Wednesday, Mar 06 2024"
08:00,AA9977,Nashville (BNA)-,American Eagle -,E145 (N923AE),,Estimated dep.  08:00,"Wednesday, Mar 06 2024"
10:29,AA3407,Dallas (DFW)-,American Eagle -,E170 (N782SM),,Estimated dep.  10:29,"Wednesday, Mar 06 2024"
14:46,AA3408,Dallas (DFW)-,American Eagle -,E75L (N280NN),,Estimated dep.  14:46,"Wednesday, Mar 06 2024"
18:18,AA3405,Dallas (DFW)-,American Eagle -,E170 (N779RN),,Estimated dep.  18:18,"Wednesday, Mar 06 2024"
Load later flights,,,,,,,"Wednesday, Mar 06 2024"
* All times are in local timezone,,,,,,,
